 ,Label,Area,%Area
1,20juil07a1a-Image Subset.czi_chanel_6,50410.778,3.043
2,20juil07a2-Image Subset.czi - 20juil07a2 #1_chanel_6,50262.827,1.646
3,20juil07e1-Image Subset.czi_chanel_6,50410.179,1.781
4,20juil07g1-Image Subset.czi_chanel_6,50153.890,0.543
5,20juil07g2-Image Subset.czi_chanel_6,50455.477,1.031
6,20juil10a1-Image Subset.czi_chanel_6,50308.454,4.446
7,20juil10a2-Image Subset.czi - 20juil10a2 #1_chanel_6,31372.690,0.058
8,20juil10c1a-Image Subset.czi_chanel_6,50600.167,2.331
9,20juil10c1b-Image Subset.czi_chanel_6,50235.301,0.525
10,20juil10c2a-Image Subset.czi_chanel_6,50202.120,20.534
11,22fev02a1-Image Subset.czi_chanel_6,49888.207,9.770
12,22fev02a2-Image Subset.czi - 22fev02a2 #1_chanel_6,50265.789,5.972
13,22fev02c1-Image Subset.czi - 22fev02c1 #1_chanel_6,50229.826,0.263
14,22fev02c2-Image Subset.czi - 22fev02c2 #1_chanel_6,50343.459,3.063
15,22fev02c4-Image Subset.czi - 22fev02c4 #1_chanel_6,50454.759,4.149
16,22fev02e3-Image Subset.czi_chanel_6,50347.050,12.360
17,22fev02f2-Image Subset.czi_chanel_6,49672.043,1.943
18,22fev02f4-Image Subset.czi_chanel_6,49280.485,1.543
